Solvent,Solute
dibutylether,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2
dibutylether,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
dibutylether,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H"
dibutylether,"InChI=1/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3"
dibutylether,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
dibutylether,InChI=1/H2O2/c1-2/h1-2H
dibutylether,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
dibutylether,"InChI=1/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/f/h4H"
dibutylether,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
heptanol,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3"
heptanol,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H"
heptanol,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H
heptanol,"InChI=1/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
heptanol,"InChI=1/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3"
heptanol,"InChI=1/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3"
heptanol,"InChI=1/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
heptanol,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
ethanol,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2
ethanol,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
ethanol,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
ethanol,InChI=1/C4H6O2/c5-4-2-1-3-6-4/h1-3H2
ethanol,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
ethanol,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
butanol,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
butanol,"InChI=1/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
butanol,InChI=1/CH2O/c1-2/h1H2
butanol,"InChI=1/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)/f/h7H"
butanol,InChI=1/H2O2/c1-2/h1-2H
butanol,"InChI=1/CH4O/c1-2/h2H,1H3"
butanol,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
butanol,"InChI=1/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)/f/h6H"
butanol,"InChI=1/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/f/h4H"
butanol,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
water,"InChI=1/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H"
water,"InChI=1/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H"
water,"InChI=1/C2H6O2/c3-1-2-4/h3-4H,1-2H2"
water,"InChI=1/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
water,"InChI=1/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3"
water,"InChI=1/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3"
water,"InChI=1/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3"
water,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H"
water,"InChI=1/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/f/h4H"
water,"InChI=1/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/f/h5H"
water,"InChI=1/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)/f/h6H"
water,"InChI=1/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)/f/h7H"
water,"InChI=1/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3"
water,InChI=1/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H
water,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3"
water,InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H
water,"InChI=1/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3"
water,"InChI=1/C3H6O/c1-2-3-4/h2,4H,1,3H2"
water,"InChI=1/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2"
water,"InChI=1/CH4O/c1-2/h2H,1H3"
water,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3"
water,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
water,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
water,"InChI=1/C4H10O/c1-4(2,3)5/h5H,1-3H3"
water,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
water,InChI=1/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H
water,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
water,"InChI=1/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3"
water,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
water,"InChI=1/C2H4O/c1-2-3/h2H,1H3"
water,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2
water,"InChI=1/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
water,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3"
water,InChI=1/C5H8O/c6-5-3-1-2-4-5/h1-4H2
water,"InChI=1/C3H6O/c1-2-3-4/h3H,2H2,1H3"
water,InChI=1/C3H6O/c1-3(2)4/h1-2H3
water,InChI=1/C2H6O2/c1-3-4-2/h1-2H3
water,"InChI=1/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3"
water,"InChI=1/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3"
water,"InChI=1/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3"
water,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
water,"InChI=1/C2H4O2/c1-4-2-3/h2H,1H3"
water,"InChI=1/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3"
water,"InChI=1/C4H10O2/c1-3-5-6-4-2/h3-4H2,1-2H3"
water,"InChI=1/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3"
water,"InChI=1/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3"
water,"InChI=1/C6H12O/c1-5(7)6(2,3)4/h1-4H3"
water,"InChI=1/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3"
water,"InChI=1/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3"
water,InChI=1/C3H6O2/c1-3(4)5-2/h1-2H3
water,"InChI=1/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
water,"InChI=1/C7H14O/c1-3-5-7(8)6-4-2/h3-6H2,1-2H3"
water,"InChI=1/C8H16O/c1-2-3-4-5-6-7-8-9/h8H,2-7H2,1H3"
water,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
water,"InChI=1/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3"
water,"InChI=1/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3"
water,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3"
water,"InChI=1/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3"
water,"InChI=1/C9H18O/c1-3-5-7-9(10)8-6-4-2/h3-8H2,1-2H3"
water,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
water,"InChI=1/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3"
water,"InChI=1/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3"
water,"InChI=1/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3"
water,"InChI=1/C9H18O2/c1-3-4-5-6-7-8-9(10)11-2/h3-8H2,1-2H3"
water,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H
water,InChI=1/C2H2/c1-2/h1-2H
water,"InChI=1/C4H4/c1-3-4-2/h1,4H,2H2"
water,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
water,"InChI=1/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
water,InChI=1/C4H8O/c1-2-4-5-3-1/h1-4H2
water,InChI=1/C5H10O/c1-2-4-6-5-3-1/h1-5H2
water,InChI=1/C2H6O/c1-3-2/h1-2H3
water,"InChI=1/C4H10O/c1-4(2)5-3/h4H,1-3H3"
water,"InChI=1/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3"
water,"InChI=1/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3"
water,"InChI=1/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3"
water,"InChI=1/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3"
water,"InChI=1/C3H4/c1-3-2/h1H,2H3"
water,"InChI=1/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3"
water,"InChI=1/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3"
water,"InChI=1/C5H12O/c1-5(2,3)6-4/h1-4H3"
water,"InChI=1/C4H6/c1-3-4-2/h1H,4H2,2H3"
water,"InChI=1/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3"
water,"InChI=1/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3"
water,"InChI=1/C4H6/c1-3-4-2/h3-4H,1-2H2"
water,"InChI=1/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2"
water,"InChI=1/C5H10/c1-3-5-4-2/h3,5H,4H2,1-2H3/b5-3+"
water,"InChI=1/C3H6/c1-3-2/h3H,1H2,2H3"
water,"InChI=1/C4H8/c1-3-4-2/h3H,1,4H2,2H3"
water,InChI=1/C2H4/c1-2/h1-2H2
water,"InChI=1/C4H8/c1-4(2)3/h1H2,2-3H3"
water,"InChI=1/C5H10/c1-3-5-4-2/h3H,1,4-5H2,2H3"
water,"InChI=1/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3"
water,InChI=1/C3H6/c1-2-3-1/h1-3H2
water,InChI=1/CH4/h1H4
water,"InChI=1/C8H16/c1-7-5-3-4-6-8(7)2/h7-8H,3-6H2,1-2H3/t7-,8-/m0/s1"
water,InChI=1/C5H10/c1-2-4-5-3-1/h1-5H2
water,InChI=1/C2H6/c1-2/h1-2H3
water,"InChI=1/C7H14/c1-7-5-3-2-4-6-7/h7H,2-6H2,1H3"
water,"InChI=1/C4H10/c1-4(2)3/h4H,1-3H3"
water,InChI=1/C6H12/c1-2-4-6-5-3-1/h1-6H2
water,"InChI=1/C3H8/c1-3-2/h3H2,1-2H3"
water,"InChI=1/C4H10/c1-3-4-2/h3-4H2,1-2H3"
water,"InChI=1/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3"
water,"InChI=1/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3"
water,"InChI=1/C5H12/c1-5(2,3)4/h1-4H3"
water,"InChI=1/C5H12/c1-3-5-4-2/h3-5H2,1-2H3"
water,"InChI=1/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3"
water,"InChI=1/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
water,"InChI=1/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3"
water,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
water,InChI=1/H2O2/c1-2/h1-2H
propanol,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2
propanol,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
propanol,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
propanol,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
propanol,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
propanol,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
pentanol,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
pentanol,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H"
pentanol,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H
pentanol,"InChI=1/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/f/h5H"
pentanol,"InChI=1/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
pentanol,InChI=1/CH2O/c1-2/h1H2
pentanol,"InChI=1/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)/f/h7H"
pentanol,InChI=1/H2O2/c1-2/h1-2H
pentanol,"InChI=1/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3"
pentanol,"InChI=1/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3"
pentanol,"InChI=1/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)/f/h6H"
pentanol,"InChI=1/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
pentanol,"InChI=1/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/f/h4H"
pentanol,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
pentane,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
pentane,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3"
pentane,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
pentane,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
pentane,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
pentane,"InChI=1/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
pentane,"InChI=1/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3"
pentane,"InChI=1/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3"
pentane,"InChI=1/C6H12O/c1-5(7)6(2,3)4/h1-4H3"
pentane,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
pentane,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
pentane,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
pentane,"InChI=1/CH4O/c1-2/h2H,1H3"
pentane,InChI=1/C3H6O2/c1-3(4)5-2/h1-2H3
pentane,"InChI=1/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3"
pentane,"InChI=1/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3"
pentane,"InChI=1/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3"
pentane,"InChI=1/C5H12/c1-3-5-4-2/h3-5H2,1-2H3"
pentane,"InChI=1/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3"
pentane,"InChI=1/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
pentane,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3"
octanol,"InChI=1/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3"
octanol,"InChI=1/C2H6O2/c3-1-2-4/h3-4H,1-2H2"
octanol,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2
octanol,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
octanol,"InChI=1/C4H8/c1-3-4-2/h3H,1,4H2,2H3"
octanol,"InChI=1/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3"
octanol,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3"
octanol,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
octanol,"InChI=1/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3"
octanol,"InChI=1/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3"
octanol,"InChI=1/C8H18O/c1-2-3-4-5-6-7-8-9/h9H,2-8H2,1H3"
octanol,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
octanol,"InChI=1/C5H8/c1-3-5-4-2/h1H,4-5H2,2H3"
octanol,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
octanol,"InChI=1/C5H12/c1-5(2,3)4/h1-4H3"
octanol,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
octanol,"InChI=1/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
octanol,"InChI=1/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3"
octanol,"InChI=1/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3"
octanol,"InChI=1/C4H10/c1-4(2)3/h4H,1-3H3"
octanol,"InChI=1/C4H8/c1-4(2)3/h1H2,2-3H3"
octanol,"InChI=1/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3"
octanol,"InChI=1/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3"
octanol,"InChI=1/C6H12O/c1-5(7)6(2,3)4/h1-4H3"
octanol,"InChI=1/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3"
octanol,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H"
octanol,InChI=1/C3H6O/c1-3(2)4/h1-2H3
octanol,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3"
octanol,"InChI=1/C3H6O/c1-2-3-4/h2,4H,1,3H2"
octanol,"InChI=1/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3"
octanol,InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H
octanol,InChI=1/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H
octanol,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H
octanol,"InChI=1/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3"
octanol,"InChI=1/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/f/h5H"
octanol,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
octanol,InChI=1/C6H12/c1-2-4-6-5-3-1/h1-6H2
octanol,InChI=1/C5H10/c1-2-4-5-3-1/h1-5H2
octanol,InChI=1/C5H8O/c6-5-3-1-2-4-5/h1-4H2
octanol,InChI=1/C3H6/c1-2-3-1/h1-3H2
octanol,"InChI=1/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3"
octanol,InChI=1/C2H6O/c1-3-2/h1-2H3
octanol,InChI=1/C2H6/c1-2/h1-2H3
octanol,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
octanol,InChI=1/C2H4/c1-2/h1-2H2
octanol,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
octanol,"InChI=1/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
octanol,"InChI=1/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
octanol,InChI=1/C2H2/c1-2/h1-2H
octanol,InChI=1/CH2O/c1-2/h1H2
octanol,InChI=1/C4H6O2/c5-4-2-1-3-6-4/h1-3H2
octanol,"InChI=1/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)/f/h7H"
octanol,InChI=1/H2O2/c1-2/h1-2H
octanol,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3"
octanol,"InChI=1/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3"
octanol,InChI=1/CH4/h1H4
octanol,"InChI=1/CH4O/c1-2/h2H,1H3"
octanol,InChI=1/C3H6O2/c1-3(4)5-2/h1-2H3
octanol,"InChI=1/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3"
octanol,"InChI=1/C5H10O2/c1-3-4-5(6)7-2/h3-4H2,1-2H3"
octanol,"InChI=1/C2H4O2/c1-4-2-3/h2H,1H3"
