Solvent,Solute
hexadecane,"InChI=1/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3"
hexadecane,"InChI=1/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
hexadecane,"InChI=1/C3H6O/c1-2-3-4/h3H,2H2,1H3"
hexadecane,"InChI=1/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/f/h4H"
hexadecane,"InChI=1/C3H6/c1-3-2/h3H,1H2,2H3"
hexadecane,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3"
hexadecane,"InChI=1/C3H4/c1-3-2/h1H,2H3"
hexadecane,"InChI=1/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3"
hexadecane,"InChI=1/C4H6/c1-3-4-2/h3-4H,1-2H2"
hexadecane,"InChI=1/C4H10O/c1-4(2,3)5/h5H,1-3H3"
hexadecane,InChI=1/C4H8O/c1-2-4-5-3-1/h1-4H2
hexadecane,InChI=1/C5H10O/c1-2-4-6-5-3-1/h1-5H2
hexadecane,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
hexadecane,InChI=1/H2O/h1H2
heptane,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
heptane,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3"
heptane,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
heptane,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
heptane,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
heptane,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
heptane,"InChI=1/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
heptane,"InChI=1/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3"
heptane,"InChI=1/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3"
heptane,"InChI=1/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3"
heptane,"InChI=1/C6H12O/c1-5(7)6(2,3)4/h1-4H3"
heptane,InChI=1/C3H6O/c1-3(2)4/h1-2H3
heptane,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3"
heptane,"InChI=1/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3"
heptane,InChI=1/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H
heptane,InChI=1/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H
heptane,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H
heptane,"InChI=1/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/f/h5H"
heptane,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
heptane,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
heptane,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
heptane,"InChI=1/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)/f/h7H"
heptane,"InChI=1/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3"
heptane,"InChI=1/CH4O/c1-2/h2H,1H3"
heptane,InChI=1/C3H6O2/c1-3(4)5-2/h1-2H3
heptane,"InChI=1/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3"
heptane,"InChI=1/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3"
heptane,"InChI=1/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3"
heptane,"InChI=1/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3"
heptane,InChI=1/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H
heptane,"InChI=1/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3"
heptane,"InChI=1/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3"
heptane,"InChI=1/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3"
heptane,"InChI=1/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3"
heptane,"InChI=1/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)/f/h6H"
heptane,"InChI=1/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3"
heptane,"InChI=1/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
heptane,"InChI=1/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/f/h4H"
heptane,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3"
heptane,"InChI=1/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3"
heptane,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
dodecane,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
dodecane,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3"
dodecane,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
dodecane,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
dodecane,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
dodecane,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3"
dodecane,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
dodecane,"InChI=1/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3"
diisopropylether,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2
diisopropylether,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
diisopropylether,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H"
diisopropylether,"InChI=1/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/f/h5H"
diisopropylether,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
diisopropylether,InChI=1/CH2O/c1-2/h1H2
diisopropylether,"InChI=1/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)/f/h7H"
diisopropylether,InChI=1/H2O2/c1-2/h1-2H
diisopropylether,"InChI=1/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3"
diisopropylether,InChI=1/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H
diisopropylether,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
diisopropylether,"InChI=1/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)/f/h6H"
diisopropylether,"InChI=1/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
diisopropylether,"InChI=1/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H"
diisopropylether,"InChI=1/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/f/h4H"
diisopropylether,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
diisopropylether,InChI=1/H2O/h1H2
dichloroethane,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
dichloroethane,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3"
dichloroethane,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
dichloroethane,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
dichloroethane,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
dichloroethane,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H"
dichloroethane,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3"
dichloroethane,InChI=1/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H
dichloroethane,"InChI=1/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/f/h5H"
dichloroethane,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
dichloroethane,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
dichloroethane,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
dichloroethane,"InChI=1/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)/f/h7H"
dichloroethane,"InChI=1/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3"
dichloroethane,"InChI=1/CH4O/c1-2/h2H,1H3"
dichloroethane,InChI=1/C3H6O2/c1-3(4)5-2/h1-2H3
dichloroethane,"InChI=1/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3"
dichloroethane,"InChI=1/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3"
dichloroethane,"InChI=1/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3"
dichloroethane,"InChI=1/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H"
dichloroethane,"InChI=1/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3"
dichloroethane,"InChI=1/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3"
dichloroethane,"InChI=1/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)/f/h6H"
dichloroethane,"InChI=1/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3"
dichloroethane,"InChI=1/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
dichloroethane,"InChI=1/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H"
dichloroethane,"InChI=1/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/f/h4H"
dichloroethane,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3"
decanol,"InChI=1/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3"
decanol,"InChI=1/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3"
decanol,"InChI=1/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3"
decanol,"InChI=1/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3"
decanol,"InChI=1/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3"
decanol,"InChI=1/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
decane,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2
decane,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
decane,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3"
decane,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
decane,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
decane,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
decane,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
decane,"InChI=1/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
decane,"InChI=1/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3"
decane,"InChI=1/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3"
decane,"InChI=1/C6H12O/c1-5(7)6(2,3)4/h1-4H3"
decane,InChI=1/C3H6O/c1-3(2)4/h1-2H3
decane,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H
decane,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
decane,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
decane,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
decane,"InChI=1/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
decane,"InChI=1/CH4O/c1-2/h2H,1H3"
decane,InChI=1/C3H6O2/c1-3(4)5-2/h1-2H3
decane,"InChI=1/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3"
decane,"InChI=1/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3"
decane,"InChI=1/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3"
decane,"InChI=1/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3"
decane,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
decane,"InChI=1/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3"
decane,"InChI=1/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3"
decane,"InChI=1/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
decane,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3"
decane,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
cyclohexane,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2
cyclohexane,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
cyclohexane,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3"
cyclohexane,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
cyclohexane,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
cyclohexane,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
cyclohexane,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
cyclohexane,"InChI=1/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3"
cyclohexane,"InChI=1/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3"
cyclohexane,"InChI=1/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3"
cyclohexane,"InChI=1/C6H12O/c1-5(7)6(2,3)4/h1-4H3"
cyclohexane,"InChI=1/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3"
cyclohexane,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H"
cyclohexane,InChI=1/C3H6O/c1-3(2)4/h1-2H3
cyclohexane,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3"
cyclohexane,"InChI=1/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3"
cyclohexane,InChI=1/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H
cyclohexane,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H
cyclohexane,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
cyclohexane,InChI=1/C6H12/c1-2-4-6-5-3-1/h1-6H2
cyclohexane,"InChI=1/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3"
cyclohexane,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
cyclohexane,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
cyclohexane,"InChI=1/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
cyclohexane,"InChI=1/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
cyclohexane,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3"
cyclohexane,"InChI=1/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3"
cyclohexane,"InChI=1/CH4O/c1-2/h2H,1H3"
cyclohexane,InChI=1/C3H6O2/c1-3(4)5-2/h1-2H3
cyclohexane,"InChI=1/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3"
cyclohexane,"InChI=1/C7H14O2/c1-3-4-5-6-7(8)9-2/h3-6H2,1-2H3"
cyclohexane,"InChI=1/C6H12O2/c1-3-4-5-6(7)8-2/h3-5H2,1-2H3"
cyclohexane,"InChI=1/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3"
cyclohexane,"InChI=1/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H"
cyclohexane,"InChI=1/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3"
cyclohexane,InChI=1/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H
cyclohexane,"InChI=1/C4H10/c1-3-4-2/h3-4H2,1-2H3"
cyclohexane,"InChI=1/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3"
cyclohexane,"InChI=1/C5H12/c1-3-5-4-2/h3-5H2,1-2H3"
cyclohexane,"InChI=1/C3H8/c1-3-2/h3H2,1-2H3"
cyclohexane,"InChI=1/C7H8O/c1-6-4-2-3-5-7(6)8/h2-5,8H,1H3"
cyclohexane,"InChI=1/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3"
cyclohexane,"InChI=1/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3"
cyclohexane,"InChI=1/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3"
cyclohexane,"InChI=1/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H"
cyclohexane,"InChI=1/C7H6O2/c8-5-6-1-3-7(9)4-2-6/h1-5,9H"
cyclohexane,"InChI=1/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)/f/h4H"
cyclohexane,"InChI=1/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3"
cyclohexane,"InChI=1/C4H10O/c1-4(2,3)5/h5H,1-3H3"
cyclohexane,InChI=1/C5H10O/c1-2-4-6-5-3-1/h1-5H2
cyclohexane,"InChI=1/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3"
cyclohexane,InChI=1/H2O/h1H2
chloroform,"InChI=1/C2H6O2/c3-1-2-4/h3-4H,1-2H2"
chloroform,InChI=1/C4H8O2/c1-2-6-4-3-5-1/h1-4H2
chloroform,"InChI=1/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3"
chloroform,"InChI=1/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3"
chloroform,"InChI=1/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"
chloroform,"InChI=1/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
chloroform,"InChI=1/C3H8O/c1-2-3-4/h4H,2-3H2,1H3"
chloroform,"InChI=1/C4H8O/c1-3-4(2)5/h3H2,1-2H3"
chloroform,"InChI=1/C2H4O/c1-2-3/h2H,1H3"
chloroform,"InChI=1/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/f/h3H"
chloroform,InChI=1/C3H6O/c1-3(2)4/h1-2H3
chloroform,"InChI=1/C8H8O/c1-7(9)8-5-3-2-4-6-8/h2-6H,1H3"
chloroform,"InChI=1/C3H6O/c1-2-3-4/h2,4H,1,3H2"
chloroform,"InChI=1/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3"
chloroform,InChI=1/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H
chloroform,InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H
chloroform,"InChI=1/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)/f/h5H"
chloroform,"InChI=1/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3"
chloroform,InChI=1/C6H12/c1-2-4-6-5-3-1/h1-6H2
chloroform,"InChI=1/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3"
chloroform,"InChI=1/C2H6O/c1-2-3/h3H,2H2,1H3"
chloroform,"InChI=1/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3"
chloroform,"InChI=1/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
chloroform,"InChI=1/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3"
chloroform,InChI=1/CH2O/c1-2/h1H2
chloroform,"InChI=1/C6H12O2/c1-2-3-4-5-6(7)8/h2-5H2,1H3,(H,7,8)/f/h7H"
chloroform,InChI=1/H2O2/c1-2/h1-2H
chloroform,"InChI=1/C3H8O/c1-3(2)4/h3-4H,1-2H3"
chloroform,"InChI=1/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3"
